user,user_id,when,review,cafe_id
Samantha Rutledge,125,a year ago,"Great indoor seating, both upstairs and downstairs (perfect for setting up with a laptop, with convenient outlets). Good drip and espresso, not too pricey",6
Emily Griffith,126,a year ago,"Finally, a coffee shop in Philly with ample working space and wifi! With both upstairs and downstairs seating and tables with up to four chairs, I’m so excited to finally find a place to work independently or with friends. Their service was …",6
kaitlin,127,4 weeks ago,"The Earl Grey Latte with Soy milk was good, The matcha latte in general tasted like sweetened vanilla milk with a hint of matcha.
They have a nice location.",6
bigguyrogers yt,128,a year ago,"All I know is as soon as I bit into the spinach and feta croissant. I'm going to be back and I'm probably going to order like four of those by themselves. Don't get me wrong. The latte that I got today was amazing as well. It was the Irish cream caramel latte. Delicious, but the spinach and feta croissant stole my heart",6
Brandon T,129,5 months ago,Ordered an oat macchiato ($5.50) and was disappointed. Excited to support a new small business but this drink doesn’t stack up to the competition in the area. I had the same drink from Elixr and it was cheaper and significantly more …,6
Kelsey Williams,130,4 months ago,Love this place! It's on the way to my office so I stop in when I'm in center city. Everyone is so friendly and their espresso is very smooth and rich. I recommend a latte with an extra shot.,6
Chandler Hsu,131,a year ago,"Nice corner coffee shop. Plenty of pastry options and lots of coffee options.

You can get coffee beans here as well as green coffee. …",6
pallavi kesarwani,132,a year ago,Great location in Philly downtown. Cute and cozy place with lots of table and space. But the wait time is way too long so please plan accordingly. I took a cappuccino which was ok.,6
Peter Jin,133,5 months ago,Cozy place for coffee glad to find out in center city,6
Mia Tomlinson,134,a year ago,Went here twice this weekend and it was great both times. I tried the iced caramel latte and the raspberry cheesecake latte and they were both really good. Nice service and a cute place,6
jane B,135,2 months ago,"Coffee was alright, but my muffin was cold in the center and the hot chocolate was more like hot over sugary milk. Would not recommend.",6
Heejung Koo,136,8 months ago,"Honestly, the coffee wasn't great. The vibes are nice if you like American flags and really dark spaces. They have places to work. I got the cold brew float. It was like 7 dollars for the most underwhelming thing. The ice cream was icy …",6
Nicole Hinterberger,137,a year ago,Thrilled to see this corner occupied!! I’ve lived on or around this block for over 5 years and have always wanted a nice new coffee shop to come in - Something local and fresh NOT a. corporate chain like Starbucks. BTC is clean. Friendly. …,6
Allie Tori,138,5 months ago,Ordered an apple chai which is on the menu and the barista had no idea how to make it (literally heard him ask the owner how to make it who also didn’t seem to know how to make it). It was completely un-drinkable. The drink was extremely chalky and had a terrible texture. Service and vibes were weird.,6
maryellen leusky,139,5 months ago,Busy corner spot with limited seating. Went there for a speciality latte and it was the best I have had in awhile. Definitely recommend for coffee.,6
Tweety Bird,140,a year ago,went here twice and the coffee never fails to be tasty!! very welcoming baristas and comfy vibe of the place!! will be going again soon!!,6
Jonah Lamberts,141,11 months ago,Great place and service love going here - their seasonal drinks are fantastic! The pic is of the mango peach latte,6
Crechka Sanchez,142,8 months ago,"I love this cafe! I had visited this cafe a few time and the baristas are always so friendly. During my last visit, I wasn’t so sure what I wanted but I did wanted to try something new.  The young boy behind the counter had helped me with …",6
Michaela Frey,143,11 months ago,"Listen,  I don't know how these people do it, but they make the best lattes/chai I've ever had. I love the unique flavors they have,  I love the look inside the Cafe,  I love it all. Yes, it's more expensive than Starbucks,  but it …",6
Craig Voellmicke,144,a month ago,"Overlooked / underrated in the neigherhood, IMO.   Great coffee and chocolate croissant.  Friendly service to top it off.",6
Lil' Jonny Travis,145,4 months ago,"Great atmosphere, nice staff, strong coffee.",6
Ethan Gordon,146,7 months ago,"Their Blueshell is so far the best decaf I've ever had in Philly.

And I really appreciate that any drink can come dark, medium, light, or unroasted, whether espresso or drip.",6
R,147,8 months ago,"I visited because of all of the advertising I’d seen. The barista was sweet, but didn’t seem to know what was going on. I got an iced latte and it was one of the worst espresso drinks I’ve ever had. The espresso was burnt and tasted like …",6
Ryanna Comelli,148,6 months ago,Food and coffee is great but they serve the coffee in disposable paper cups and the food comes in a “to-go” box. Personally if I’m going out somewhere for coffee I want to have it in a real mug not a disposable one.,6
Marianna Frederick,149,10 months ago,If you go don’t get their matcha. It’s reallyyyy bad. For $7?!? It should have at least taste good.,6
Scott Rush,150,8 months ago,"Great cafe!  Loved the non traditional coffees and drinks.  Delicious. Got the raspberry cheesecake latte and the banana nut latte, both iced.  Very good. Will return!",6
N,151,a year ago,"I’ve lived in this neighborhood for a long time and always hoped a good coffee shop would open in this space. Finally one has - the coffee is great, and the pastries might be even better. The store has a genuinely inviting and unpretentious …",6
meghan angelini,152,2 months ago,"Really cool place with great tea, delicious pastries and knowledgeable staff. Great experience!",6
kagen haberstick,153,a year ago,"Sad that it wasn’t as good as I was hoping it was nice to see a more local cafe going up, I never leave reviews on anything but was highly disappointed 10$ for a dirty chai and it was awful. I’m an avid cafe goer and have never had this bad of an experience. Staff seemed nice not sure if it’s because it’s new hoping quality gets better.",6
Bryce Hwang,154,a year ago,"Ratings are far inflated by a 25 percent off for a 5 star review.

Mediocre coffee and food. …",6
alyssa mcdonough,155,8 months ago,"Today, my colleagues and I decided to try a different cafe. We were surprised by the specialty lattes that each one of us ordered one! Emeshi was the cutest and most helpful young man at the register. We will be returning thanks to the experience.",6
Reece Anderson,156,5 months ago,"Best cafe in Philly - hands down. Wonderful environment and perfect coffee, treats. Recommended highly",6
Vivian Wang,157,2 months ago,Latte smells and tastes great,6
Nata Li,158,9 months ago,"Worst cup of coffee I’ve ever tasted! I took a sip and left it on the counter, it was so disgusting. Place looks nice, takes pride in being small business, but seems to forget that small business has to be better than big chain companies.",6
Alexander Yu,159,2 months ago,"Got a warm latte, Josh was my barista and he was super friendly and awesome!!",6
Marc Caruso,160,2 months ago,Outstanding Coffee.  Friendly staff.  They roast their own beans.,6
ice ice baby,161,a year ago,"Delicious coffee, amazing service, and many options for snacks!

Irish Cream Caramel Latte was mouthwatering, Cold Brew was tasty and not at all …",6
Katherine Hopper,162,7 months ago,My boyfriend grabbed me an iced blackberry-lavender latte with oatmilk   and it was one of the best lattes I've ever had. I'm sad that I live so far away that I can't make this my regular coffee order.,6
Aleksi Klöve,163,a year ago,I had some coffees and cookies in this place on my visit in Philadelphia. The coffee was very fresh and hot. The house was beautifull and the staff treated me well. Elliot made my diary writing sessions even more comfier with that sunny attitude! Totally will visit again. A warm heart inside Philly.,6
Gabriel Eipper,164,a year ago,"I love coffee, but a lot of it usually tastes pretty similar to me.  I don’t know what it is about the espresso here, but it tastes great, like excellent chocolate!  Highly recommend.  Great service too, Elliot was really helpful",6
Ellie Friedman,165,a year ago,"I have been coming to Black Turtle Coffee for Eggnog lattes!!!
They are the best!!! Having said that, today I spilled my entire latte and it went all over the place!!!  Gabi was so kind---cleaned up the mess---did not make …",6
Rennie Thomas,166,a year ago,"This being my first time in this establishment, I wasn't what to expect. I was pleasantly surprised. The Atmosphere was great and your batista, Elliott ,was above and beyond in terms of his service and his attention to detail. He went out …",6
Bobbi B,167,a year ago,"We love Black Turtle! Not only is the coffee excellent, but the staff knows us and makes everyone feel welcome. Gabby greets us every morning , very early, with a professional attitude and a big smile. Our day would not be complete without at least one visit to Black Turtle!",6
Michael Rios,168,a year ago,"The sign out front literally says “shell out for the good stuff”, (which unfortunately I didn’t notice until after we left) and believe me you will indeed be shelling out. One regular sized latte and a pre-made turkey wrap that’s been …",6
John Luzuriaga,169,5 months ago,Amazing and quick service!!! Ericka made one of the best banana nut lattes I’ve ever had along with a warm croissant!,6
Hailey Gerhart,170,a year ago,"Two days ago I spent almost $9 on a 12 oz pumpkin spice latte with oat milk, and I thought that the price might  be justified by the taste but unfortunately I was very underwhelmed! …",6
James Kemp,171,a year ago,"Best egg and cheese I've ever had.

I went in for a latte and an egg sandwich. The Latte was good but nothing too …",6
Ogkush Sage,172,a year ago,"I came in here, I love the place down the street, however I think I sadly have to let them go.  Chloe Elliot and Ken were working, they were super cool and kind.  This will def be my new spot.  And the coffees on point.  Added bonus.  I’m also never the type to go through actually leaving reviews.  So two thumbs up",6
Assorted Pastries,173,9 months ago,"The two baristas in the front, Benji and Joshua, were very friendly and were patient when I was being indecisive with my order. Their friendly demeanor and helpful attitude allowed me to experience a great time at their cafe.",6
Serena Chung,174,a year ago,"I tried Black Turtles Gingerbread latte and Apple Cider Chai. Both were very good and not too sweet which I like. Our barista Elliot was an absolute gem who taught us how each drink is made and its uniqueness. With the downstairs seating, it is a cute and cozy spot to get some work done too.",6
According to Dana,175,a year ago,"Happy to call Black Turtle one of my new go-to neighborhood coffee spots! I can always count on prompt, friendly service, fantastic coffee and baked goods, and a chill atmosphere in the middle of a high-traffic area! And a coffee shop that opens early and closes late? PERFECT for those like myself who are constantly on the go!",6
Luc Moulson,176,a year ago,"I really wanna like this place, because the coffee is delicious but the speed of service and quality of drinks is no good. I consistently order a double shot cappuccino which sets me back about 6 bucks and it is made very poorly. No foam …",6
Lisa James,177,a year ago,"Iced mocha drink & red velvet muffin were both delicious. The staff are friendly & professional. The decor is attractive. I am looking forward to coming back, & making this my regular coffee spot. It's also great that it will be open to 8pm.",6
Boneill230,178,a year ago,Went on Saturday 3/16. Tried to order an iced macchiato to which the person taking my order replied “You mean you want the one from Starbucks” in a very condescending tone. I ended up ordering an iced maple latte for my husband and I. …,6
Corinne Kampman,179,a year ago,I had really high hopes for this new coffee location in Center City. I got the iced blackberry lavender latte and I was not a fan. It was $9 for the latte and I couldn’t stomach the taste of the burnt espresso. I feel like they are working out some kinks since first opening. Plenty of other good cafes in the area.,6
Rachel McCabe,180,a year ago,"This place is great! I ordered two seasonal lattes, and both were fantastic. The drinks were well-balanced and had no artificial-tasting flavor. The barista was also super friendly and helpful. Looking forward to going back!",6
Cory Alexander,181,9 months ago,"From the moment I walked in I was pleasantly greeted by Ariana who explained their signature Shakerato drink which was fantastic. Great coffee shop, a bit pricey but quality espresso.",6
